time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
5,13108,0.760,0.140,9.366,0.223,0.705,1.218
10,12708,0.783,0.139,11.451,0.235,0.727,1.233
15,12607,0.790,0.142,10.566,0.238,0.703,1.254
20,13121,0.759,0.141,12.326,0.227,0.533,1.212
25,12794,0.778,0.141,12.452,0.234,0.688,1.239
30,12607,0.789,0.142,16.123,0.238,0.715,1.228
35,12724,0.782,0.141,8.665,0.239,0.668,1.247
40,12613,0.789,0.142,10.736,0.247,0.572,1.256
45,12682,0.784,0.142,10.847,0.240,0.609,1.245
50,12508,0.796,0.140,8.243,0.245,0.729,1.256
55,12665,0.785,0.143,10.625,0.241,0.616,1.249
